wateryear,precipstatewide,precipsacramento,precipsjv
1896,24.73,42.41,24.01
1897,25.17,39.55,22.5
1898,15.16,24.11,13.08
1899,17.13,28.71,16.36
1900,22.12,38.71,18.65
1901,25.81,39.27,28
1902,21.61,37.04,16.07
1903,22.66,35.96,17.72
1904,28.37,52.6,20.89
1905,23.41,34.82,20.12
1906,28.14,45.61,28.6
1907,31.2,49.55,28.68
1908,18.88,26.73,16.09
1909,28.21,44.83,23.44
1910,21.14,31.2,19.93
1911,26.12,41.79,26.11
1912,17.3,25.03,13.52
1913,16.67,24.59,13.25
1914,29.15,46.91,24.36
1915,26.88,40.3,23.19
1916,25.08,37.35,23.07
1917,18.68,28.67,17.85
1918,17.49,24.63,16.94
1919,19.64,29.2,16.39
1920,16.03,21.65,16.2
1921,24.48,40.89,19.44
1922,23.08,31.9,23.04
1923,20.31,34.17,19.69
1924,9.94,14.34,8.65
1925,24.04,39.76,21.27
1926,17.74,28.77,15.21
1927,27.47,41.61,22.39
1928,19.15,31.99,16.59
1929,15.26,23.06,14.48
1930,18.26,31.92,14.91
1931,14.34,19.17,12.8
1932,22.21,30.91,22.3
1933,15.96,21.46,14.22
1934,15.61,26.6,12.62
1935,24.96,37.64,24.36
1936,23.06,36.88,23.21
1937,23.12,30.64,24.51
1938,33.71,53.18,31.09
1939,16.35,19.81,15.69
1940,25.74,43.82,22.48
1941,34.87,53.36,28.89
1942,26.15,45.91,22.8
1943,25.28,38.65,23.89
1944,18.68,26.12,17.33
1945,22.28,33.13,21.66
1946,21.1,33.08,18.61
1947,16.52,26.15,15.34
1948,19.5,35.45,15.99
1949,17.01,26.19,14.7
1950,18,29.09,16.31
1951,23,39.53,21.5
1952,30.79,48.22,28.56
1953,21.94,37.01,16.44
1954,21.17,32.94,16.88
1955,16.67,25.32,16.08
1956,28.32,49.1,26
1957,19.33,31.19,16.38
1958,33.75,51.22,30.39
1959,15.66,25.76,12.58
1960,16.63,26.72,12.9
1961,17.63,29.34,13.14
1962,20.78,31.35,20.5
1963,24.88,42.57,22.32
1964,16.02,24.84,14.21
1965,25.14,42.06,22.77
1966,18.33,25.29,14.64
1967,28.32,45.06,29.21
1968,17.35,28.65,13.23
1969,31.96,46.11,35.14
1970,22.46,41.59,17.6
1971,23.72,39.97,18
1972,15.94,25.3,12.06
1973,25.37,39.88,24.81
1974,27.95,48.1,21.81
1975,22.06,34.29,19.84
1976,14.66,18.87,12.52
1977,10.86,15.16,8.77
1978,33.76,47.95,33.89
1979,20.12,28.44,19.19
1980,28.5,42.9,26.4
1981,17.01,27.39,15.11
1982,32.41,54.36,30.86
1983,40.41,60.59,38.01
1984,22.38,38.85,18.6
1985,18.24,27.42,16.29
1986,28.43,46.66,27.58
1987,13.97,20.47,12
1988,18.37,26.35,15.29
1989,19.19,34.42,16.07
1990,15.02,25.31,12.85
1991,17.03,24.82,16.16
1992,18.88,25.67,16.39
1993,31.14,47.17,27.37
1994,15.13,23.31,14.48
1995,36.18,59.85,33.38
1996,24.69,42.9,21.99
1997,26.62,43.11,25.07
1998,37.65,58.55,35.08
1999,20.82,34.31,17.13
2000,21.23,36.57,20.1
2001,16.67,24,16.74
2002,17.41,31.15,15.65
2003,24.8,39.6,20.01
2004,19.06,32.7,14.74
2005,29.94,40.32,29.34
2006,29.02,51.5,25.82
2007,13.96,23.54,11.43
2008,17.22,25.31,14.47
2009,17,28.84,15.83
2010,23.66,35.92,21.53
2011,28.82,44.95,29.55
2012,16.44,26.72,12.94
2013,16.95,30.08,13
2014,12.39,21.3,10.04
2015,16.78,27.6,12.16
2016,22.72,37.72,20.73
2017,35.02,58.56,32.93
